File_name	average	rmse	sumOfSqerror	Cancer_type	Status
DRR345016	246.05495014949514	0.0024308659387708926	0.1384527005320767	HS	Normal
DRR345017	213.4311154643671	0.0019944386315936305	0.14448327954768012	HS	Tumor
DRR345018	253.16094294471452	0.0024794309528071035	0.1384490799372929	HS	Normal
DRR345019	221.28116785046717	0.0019269731429991444	0.141130229040265	HS	Tumor
DRR345020	213.83249954584772	0.0027141232590960616	0.14142118884033006	HS	Normal
DRR345021	240.9057911456796	0.00219800828698364	0.13816016407612636	HS	Tumor
DRR345022	134.31476898646807	0.0034512004074425326	0.17631547549374504	HS	Normal
DRR345023	138.26506708243627	0.003503188286931152	0.175404466110316	HS	Tumor
DRR345024	91.90991842834748	0.004731855693441551	0.17899929003319384	HS	Normal
DRR345025	83.44343698478725	0.0034522151305336904	0.19357047704320718	HS	Tumor
DRR483792	47.39964904887419	0.004346987557215892	0.24447699176374704	NonT	Normal
DRR483794	24.308596273767197	0.007973337193536718	0.26178786501665735	NonT	Normal
DRR483791	52.80760742414131	0.005154536086969011	0.23716468094878637	NonT	Normal
DRR483793	30.55477081974844	0.006941458989122345	0.2537195843274319	NonT	Normal
ERR9923005	32.492561580687806	0.0046573212179647485	0.19410472248435368	MT	Normal
ERR9923059	47.149253267430936	0.0030733863660293032	0.17907586171192122	MT	Tumor
ERR9923060	57.55749638324127	0.0020359065150910276	0.16970230337194817	MT	Tumor
ERR9923006	31.155529427102987	0.004145422091643764	0.19185737173462086	MT	Normal
ERR9923061	49.62139982429556	0.0029786530273116334	0.17240200817080906	MT	Tumor
ERR9923007	27.94537431965815	0.003955362103416844	0.19645849962188777	MT	Normal
ERR9923062	55.15899918149456	0.0026123663747762353	0.16976361935116716	MT	Tumor
ERR9923008	25.741012157830635	0.003258897206739925	0.19969888162026506	MT	Normal
ERR9923063	49.82234077636316	0.0021922495392437537	0.1755579930546101	MT	Tumor
ERR9923064	43.29789441474799	0.0024409104389933366	0.17926987505373057	MT	Tumor
ERR9923009	33.92479266737577	0.0029617505375072782	0.18976016821654831	MT	Normal
ERR9923065	57.39848346909771	0.002076618335060622	0.1714059441585707	MT	Tumor
ERR9923010	24.0908174551463	0.003557781760748979	0.20154134980765456	MT	Normal
ERR9923066	60.496058150478355	0.0019858191043608587	0.17041058776455392	MT	Tumor
ERR9923011	21.820621736924096	0.005112909217579288	0.19321114997010888	MT	Normal
ERR9923067	47.981790676961104	0.002817184189400864	0.17768371742899297	MT	Tumor
ERR9923012	31.558471373064	0.0035845057810150785	0.19276510954896617	MT	Normal
ERR9923068	61.2637672843825	0.0024120938139379684	0.17050961335504594	MT	Tumor
ERR9923013	28.652945160135545	0.00382744773692256	0.19854827492916804	MT	Normal
ERR9923069	55.31352669034993	0.0020178952105709067	0.17321018204385638	MT	Tumor
ERR9923014	23.417508048081114	0.004292516147315595	0.2073778479929043	MT	Normal
ERR9923070	48.73501966495558	0.0026875100244312267	0.17731457131906356	MT	Tumor
ERR9923015	29.174425354335547	0.004679412127928723	0.19524983784754843	MT	Normal
ERR9923071	45.57449480311069	0.0034314462506138178	0.17500375878130497	MT	Tumor
ERR9923016	27.75301308023515	0.0040360209479576884	0.1953617585695406	MT	Normal
ERR9923072	52.17971163302022	0.002641381342637383	0.17366956786448703	MT	Tumor
ERR9923017	31.345368295376733	0.004295347121281929	0.19319514471935534	MT	Normal
ERR9923073	55.07414486074119	0.0030635082385401615	0.17218442535984266	MT	Tumor
ERR9923018	29.993048482213098	0.004619678936417564	0.19275745298427457	MT	Normal
ERR9923074	58.543596145058935	0.003135155398990156	0.16921128148488024	MT	Tumor
ERR9923019	25.345174936287997	0.005860036728974521	0.19768397676364846	MT	Normal
ERR9923075	56.47092485972	0.0033733447689457815	0.1722058638607674	MT	Tumor
ERR9923020	27.946295000527407	0.004585694154047919	0.19898953896279437	MT	Normal
ERR9923076	63.25049603543227	0.0026901540669912096	0.1695224017007107	MT	Tumor
ERR9923021	31.47804453181599	0.004439108302031668	0.19273093043115463	MT	Normal
ERR9923077	60.363171968396934	0.0028419723647716937	0.16875669233371568	MT	Tumor
ERR9923022	13.734237327809605	0.006740781742229219	0.21326878964083576	MT	Normal
ERR9923078	60.09787188303129	0.002588770967372633	0.1701710829137867	MT	Tumor
ERR9923023	13.174780170947745	0.006752734084416488	0.21364694482359198	MT	Normal
ERR9923079	49.79462046363062	0.0035665399757385	0.1823824069014989	MT	Tumor
ERR9923024	38.98106281830747	0.002902661832889081	0.19238758543854886	MT	Normal
ERR9923080	39.70008832692905	0.002485739659334033	0.17988581923521457	MT	Tumor
ERR9923025	17.1496652751575	0.006562229620891698	0.20916946077012608	MT	Normal
ERR9923081	54.84985012622028	0.003060964384639497	0.17647727290628837	MT	Tumor
ERR9923026	17.24705343551743	0.006417242430931795	0.20645177507582413	MT	Normal
ERR9923082	51.690702711234636	0.00233854604374312	0.17387211715985426	MT	Tumor
ERR9923027	13.27623096315064	0.006692079366734816	0.2117279154408518	MT	Normal
ERR9923083	61.8154058168732	0.0032705578114296673	0.17278329369053344	MT	Tumor
ERR9923028	13.332454547404243	0.006509361869317076	0.20594699254338436	MT	Normal
ERR9923084	42.55694238670557	0.004044735569091411	0.1893696642177143	MT	Tumor
ERR9923029	18.110088091552576	0.00647392652064181	0.20523470276160077	MT	Normal
ERR9923085	58.62235511935212	0.0025861107291905755	0.17074207325420235	MT	Tumor
